# boon-phase0-container-occurrences-v1
# path	line	byte_column	ordinal	construct	category	reason	context_sha256
crates/boon_app_package/src/browser.rs	10	23	1	BTreeSet	membership	membership-container-import	95763787053acddb460090e854311ac6ab93ed15fde8d276c7c42354c7ec364b
crates/boon_app_package/src/browser.rs	266	31	2	BTreeSet	membership	set-membership-structure	ee0680ab8abd7186a26d2beec3a02b6391d0c3cc7db21a2c94320d8619cdccfa
crates/boon_app_package/src/build.rs	13	24	1	BTreeMap	unrelated-host-code	host-container-import	c5b31332c3addaeb3325d98902586d4439813b6a8f7ad742353f42b289b0ea76
crates/boon_app_package/src/build.rs	13	34	1	BTreeSet	membership	membership-container-import	c5b31332c3addaeb3325d98902586d4439813b6a8f7ad742353f42b289b0ea76
crates/boon_app_package/src/build.rs	140	23	2	BTreeSet	membership	set-membership-structure	1fe12beacd7aac95c5a2fc462bc0511193b96648519013f975a6e6c0db25b197
crates/boon_app_package/src/build.rs	398	39	2	BTreeMap	name-lookup	name-or-path-key-context	a8249a08e81822f30fa536b7a142308b06e843ccc3f9e911dbd620e26e22f3ee
crates/boon_app_package/src/build.rs	452	19	3	BTreeSet	membership	set-membership-structure	f8c6c519330d5c13204c5c83d1b2084430a943b88314ec0457b8c5990742c921
crates/boon_app_package/src/build.rs	505	19	4	BTreeSet	membership	set-membership-structure	f8c6c519330d5c13204c5c83d1b2084430a943b88314ec0457b8c5990742c921
crates/boon_app_package/src/build.rs	598	19	5	BTreeSet	membership	set-membership-structure	f8c6c519330d5c13204c5c83d1b2084430a943b88314ec0457b8c5990742c921
crates/boon_app_package/src/build.rs	625	19	6	BTreeSet	membership	set-membership-structure	f8c6c519330d5c13204c5c83d1b2084430a943b88314ec0457b8c5990742c921
crates/boon_app_package/src/build.rs	665	19	7	BTreeSet	membership	set-membership-structure	f8c6c519330d5c13204c5c83d1b2084430a943b88314ec0457b8c5990742c921
crates/boon_app_package/src/build.rs	689	19	8	BTreeSet	membership	set-membership-structure	f8c6c519330d5c13204c5c83d1b2084430a943b88314ec0457b8c5990742c921
crates/boon_app_package/src/bundle.rs	16	23	1	BTreeSet	membership	membership-container-import	95763787053acddb460090e854311ac6ab93ed15fde8d276c7c42354c7ec364b
crates/boon_app_package/src/bundle.rs	159	31	2	BTreeSet	membership	set-membership-structure	2f4bd875ff013a890074201fd61b95fb136238fb3f6c80956921c4ea671807a3
crates/boon_app_package/src/bundle.rs	160	33	3	BTreeSet	membership	set-membership-structure	d8b03d4ff1e4399110b3afa9a002f7e465c8669fecf04385f01b1ea904c6efb4
crates/boon_app_package/src/bundle.rs	183	29	4	BTreeSet	membership	set-membership-structure	eb20518d343a33b8f83ccf05669c69bc72612b07a4282bf731d6c4b7331d3660
